timestamp,user_id,session_id,event_type,key_category,key_dwell_ms,mouse_x,mouse_y,mouse_event,scroll_dx,scroll_dy,idle_seconds
2026-02-10T22:47:43.492,user_01,d6729064,MOUSE_MOVE,,,1189,237,MOVE,,,
2026-02-10T22:47:43.498,user_01,d6729064,MOUSE_MOVE,,,1185,252,MOVE,,,
2026-02-10T22:47:43.505,user_01,d6729064,MOUSE_MOVE,,,1181,260,MOVE,,,
2026-02-10T22:47:43.512,user_01,d6729064,MOUSE_MOVE,,,1175,275,MOVE,,,
2026-02-10T22:47:43.519,user_01,d6729064,MOUSE_MOVE,,,1163,293,MOVE,,,
2026-02-10T22:47:43.526,user_01,d6729064,MOUSE_MOVE,,,1153,307,MOVE,,,
2026-02-10T22:47:43.533,user_01,d6729064,MOUSE_MOVE,,,1142,321,MOVE,,,
2026-02-10T22:47:43.540,user_01,d6729064,MOUSE_MOVE,,,1128,330,MOVE,,,
2026-02-10T22:47:43.547,user_01,d6729064,MOUSE_MOVE,,,1116,340,MOVE,,,
2026-02-10T22:47:43.553,user_01,d6729064,MOUSE_MOVE,,,1106,349,MOVE,,,
2026-02-10T22:47:43.560,user_01,d6729064,MOUSE_MOVE,,,1091,357,MOVE,,,
2026-02-10T22:47:43.567,user_01,d6729064,MOUSE_MOVE,,,1077,366,MOVE,,,
2026-02-10T22:47:43.573,user_01,d6729064,MOUSE_MOVE,,,1064,375,MOVE,,,
2026-02-10T22:47:43.580,user_01,d6729064,MOUSE_MOVE,,,1050,381,MOVE,,,
2026-02-10T22:47:43.587,user_01,d6729064,MOUSE_MOVE,,,1039,385,MOVE,,,
2026-02-10T22:47:43.594,user_01,d6729064,MOUSE_MOVE,,,1029,388,MOVE,,,
2026-02-10T22:47:43.601,user_01,d6729064,MOUSE_MOVE,,,1021,392,MOVE,,,
2026-02-10T22:47:43.608,user_01,d6729064,MOUSE_MOVE,,,1011,395,MOVE,,,
2026-02-10T22:47:43.615,user_01,d6729064,MOUSE_MOVE,,,1005,396,MOVE,,,
2026-02-10T22:47:43.621,user_01,d6729064,MOUSE_MOVE,,,1000,399,MOVE,,,
2026-02-10T22:47:43.628,user_01,d6729064,MOUSE_MOVE,,,996,400,MOVE,,,
2026-02-10T22:47:43.635,user_01,d6729064,MOUSE_MOVE,,,992,402,MOVE,,,
2026-02-10T22:47:43.642,user_01,d6729064,MOUSE_MOVE,,,989,403,MOVE,,,
2026-02-10T22:47:43.648,user_01,d6729064,MOUSE_MOVE,,,987,403,MOVE,,,
2026-02-10T22:47:43.656,user_01,d6729064,MOUSE_MOVE,,,986,403,MOVE,,,
2026-02-10T22:47:43.663,user_01,d6729064,MOUSE_MOVE,,,985,404,MOVE,,,
2026-02-10T22:47:43.669,user_01,d6729064,MOUSE_MOVE,,,985,404,MOVE,,,
2026-02-10T22:47:43.683,user_01,d6729064,MOUSE_MOVE,,,984,404,MOVE,,,
2026-02-10T22:47:43.711,user_01,d6729064,MOUSE_MOVE,,,984,404,MOVE,,,
2026-02-10T22:47:43.717,user_01,d6729064,MOUSE_MOVE,,,983,403,MOVE,,,
2026-02-10T22:47:43.724,user_01,d6729064,MOUSE_MOVE,,,983,401,MOVE,,,
2026-02-10T22:47:43.731,user_01,d6729064,MOUSE_MOVE,,,982,398,MOVE,,,
2026-02-10T22:47:43.738,user_01,d6729064,MOUSE_MOVE,,,981,396,MOVE,,,
2026-02-10T22:47:43.744,user_01,d6729064,MOUSE_MOVE,,,980,394,MOVE,,,
2026-02-10T22:47:44.557,user_01,d6729064,MOUSE_MOVE,,,1006,382,MOVE,,,
